key_id;tournament_id;match_id;team_id;home_team;away_team;player_id;shirt_number;position_name;position_code;starter;substitute
1;WC-1970;M-1970-01;T-46;1;0;P-66980;1;goal keeper;GK;1;0
2;WC-1970;M-1970-01;T-46;1;0;P-64553;3;defender;DF;1;0
3;WC-1970;M-1970-01;T-46;1;0;P-42664;5;defender;DF;1;0
4;WC-1970;M-1970-01;T-46;1;0;P-69898;6;midfielder;MF;1;0
5;WC-1970;M-1970-01;T-46;1;0;P-56971;10;forward;FW;1;0
6;WC-1970;M-1970-01;T-46;1;0;P-96177;13;defender;DF;1;0
7;WC-1970;M-1970-01;T-46;1;0;P-38555;14;defender;DF;1;0
8;WC-1970;M-1970-01;T-46;1;0;P-85808;15;midfielder;MF;1;0
9;WC-1970;M-1970-01;T-46;1;0;P-32657;18;midfielder;MF;1;0
10;WC-1970;M-1970-01;T-46;1;0;P-07812;19;forward;FW;1;0
11;WC-1970;M-1970-01;T-46;1;0;P-48001;21;forward;FW;1;0
12;WC-1970;M-1970-01;T-46;1;0;P-96873;8;midfielder;MF;0;1
13;WC-1970;M-1970-01;T-72;0;1;P-79597;2;goal keeper;GK;1;0
14;WC-1970;M-1970-01;T-72;0;1;P-17002;5;defender;DF;1;0
15;WC-1970;M-1970-01;T-72;0;1;P-52906;6;defender;DF;1;0
16;WC-1970;M-1970-01;T-72;0;1;P-70408;7;defender;DF;1;0
17;WC-1970;M-1970-01;T-72;0;1;P-28651;9;defender;DF;1;0
18;WC-1970;M-1970-01;T-72;0;1;P-33189;11;midfielder;MF;1;0
19;WC-1970;M-1970-01;T-72;0;1;P-50044;14;midfielder;MF;1;0
20;WC-1970;M-1970-01;T-72;0;1;P-60181;15;midfielder;MF;1;0
21;WC-1970;M-1970-01;T-72;0;1;P-02102;16;forward;FW;1;0
22;WC-1970;M-1970-01;T-72;0;1;P-72049;17;forward;FW;1;0
23;WC-1970;M-1970-01;T-72;0;1;P-43733;19;forward;FW;1;0
24;WC-1970;M-1970-01;T-72;0;1;P-59828;20;forward;FW;0;1
25;WC-1970;M-1970-01;T-72;0;1;P-98262;21;forward;FW;0;1
26;WC-1970;M-1970-02;T-84;1;0;P-53140;1;goal keeper;GK;1;0
27;WC-1970;M-1970-02;T-84;1;0;P-47978;2;defender;DF;1;0
28;WC-1970;M-1970-02;T-84;1;0;P-83747;3;defender;DF;1;0
29;WC-1970;M-1970-02;T-84;1;0;P-63224;4;defender;DF;1;0
30;WC-1970;M-1970-02;T-84;1;0;P-83931;5;midfielder;MF;1;0
31;WC-1970;M-1970-02;T-84;1;0;P-50162;6;defender;DF;1;0
32;WC-1970;M-1970-02;T-84;1;0;P-81929;7;midfielder;MF;1;0
33;WC-1970;M-1970-02;T-84;1;0;P-47892;8;midfielder;MF;1;0
34;WC-1970;M-1970-02;T-84;1;0;P-99710;9;forward;FW;1;0
35;WC-1970;M-1970-02;T-84;1;0;P-40429;10;midfielder;MF;1;0
36;WC-1970;M-1970-02;T-84;1;0;P-08424;21;midfielder;MF;1;0
37;WC-1970;M-1970-02;T-84;1;0;P-82186;20;forward;FW;0;1
38;WC-1970;M-1970-02;T-40;0;1;P-09393;1;goal keeper;GK;1;0
39;WC-1970;M-1970-02;T-40;0;1;P-87631;4;defender;DF;1;0
40;WC-1970;M-1970-02;T-40;0;1;P-78005;5;defender;DF;1;0
41;WC-1970;M-1970-02;T-40;0;1;P-94998;6;midfielder;MF;1;0
42;WC-1970;M-1970-02;T-40;0;1;P-95383;7;midfielder;MF;1;0
43;WC-1970;M-1970-02;T-40;0;1;P-62232;8;midfielder;MF;1;0
44;WC-1970;M-1970-02;T-40;0;1;P-95869;9;forward;FW;1;0
45;WC-1970;M-1970-02;T-40;0;1;P-77834;10;midfielder;MF;1;0
46;WC-1970;M-1970-02;T-40;0;1;P-10922;12;defender;DF;1;0
47;WC-1970;M-1970-02;T-40;0;1;P-37385;14;defender;DF;1;0
48;WC-1970;M-1970-02;T-40;0;1;P-86314;15;forward;FW;1;0
49;WC-1970;M-1970-02;T-40;0;1;P-08449;2;defender;DF;0;1
50;WC-1970;M-1970-02;T-40;0;1;P-60216;16;defender;DF;0;1
51;WC-1970;M-1970-03;T-28;1;0;P-74455;1;goal keeper;GK;1;0
