player_id;list_tournaments
P-35894;1958
P-29915;1995
P-03484;2022
P-04189;1966
P-03523;2006
P-84073;2019
P-35138;1998
P-05170;2007
P-75462;2014
P-78277;1954
P-07698;2015
P-02042;1954
P-81393;2002
P-86290;2006
P-29132;1994
P-26446;1990
P-29161;2018
P-73679;1990
P-62193;1990
P-61342;1994
P-64924;2022
P-98081;1978
P-94880;2010
P-21820;2022
P-77199;2002
P-73110;1998
P-08125;2022
P-03048;1994
P-75724;2018
P-53430;1990
P-00148;2010
P-56772;1998
P-80505;2018
P-02805;1982
P-85334;1934
P-99390;1978
P-24945;1994
P-32023;1962
P-58512;2015
P-96775;2011
P-00685;1986
P-04469;2006
P-72635;2011
P-98382;1986
P-22858;1974
P-53452;2010
P-48295;2022
P-62807;1990
P-04266;1938
P-64134;1978
P-51300;1998
P-91786;2006
P-64372;2002
P-95918;2015
P-12036;1990
P-13103;1982
P-17067;1962
P-75402;1998
P-81409;1958
P-48167;1986
P-28429;1970
P-01989;1950
P-29870;2014
P-17442;1958
P-67954;1974
P-44943;2002
P-65320;2014
P-86410;2022
P-52241;2015
P-63370;2014
P-43934;1998
P-79480;1950
P-73712;2018
P-17884;1998
P-21395;1982
P-26945;1970
P-34289;1962
P-24941;2019
P-92795;1930
P-40630;2014
P-54003;1998
P-14151;2022
P-70505;1962
P-56943;1950
P-77757;2006
P-23846;2006
P-56284;2010
P-48772;2006
P-55821;2022
P-03894;1962
P-42799;2010
P-49381;1950
P-56969;1994
P-05901;2022
P-65216;2010
P-17027;2006
P-47010;1970
P-67189;2014
P-40825;1991
P-20372;2006
P-47833;2018
P-32222;2022
P-80329;1938
P-40938;1938
P-09681;2019
P-81141;2010
P-05368;2014
P-47319;2022
P-55727;2002
P-76618;1966
P-00279;1938
P-13639;2022
P-30416;2006
P-53035;2014
P-68499;1994
P-08310;2006
P-77276;1994
P-52264;2010
P-74228;2002
P-15991;2019
P-72797;1998
P-44105;1978
P-25342;1994
P-77856;1986
P-47490;2022
P-17292;1958
P-36870;2010
P-75197;2015
P-76705;2014
P-72265;2015
P-01835;2010
P-43460;1958
P-44957;2022
P-57189;1986
P-08700;1998
P-11212;1998
P-95800;1930
P-17727;1958
P-23101;2002
P-33814;1930
P-59792;1986
P-79898;2010
P-89904;2014
P-30429;1974
P-38468;1950
P-37948;2014
P-91705;1978
P-33804;2022
P-27915;2006
P-26616;2002
P-29011;2010
P-34039;1974
P-09991;2022
P-25824;2015
P-94180;2011
P-22801;1990
P-25906;2002
P-50085;2015
P-35569;1954
P-66972;2006
P-58822;2018
P-08096;1986
P-73175;2010
P-34716;1999
P-30731;2019
P-76883;1991
P-62839;2015
P-97929;2015
P-48722;2006
P-23925;2018
P-64438;2022
P-54794;1991
P-41399;1954
P-47488;1978
P-93242;1995
P-95453;2014
P-34956;1998
P-01401;2006
P-42905;2014
P-38185;1995
P-83020;2018
P-07482;2006
P-48288;2002
P-79130;2002
P-76864;2022
P-45581;2022
P-12335;2022
P-22789;1994
P-88607;1982
P-45367;1998
P-67035;2022
P-58952;2006
P-23379;1994
P-60833;2006
P-94422;2018
P-87284;2018
P-51432;1982
P-49203;1982
P-89845;2022
P-33410;1982
P-77098;1994
P-10907;2022
P-70583;2018
P-12996;1994
P-53448;1998
P-60332;1994
P-17941;1998
P-85019;1998
P-93688;2018
P-00585;2002
P-90719;1982
P-06789;2022
P-39267;1994
P-17103;1990
P-32314;1982
P-93316;2022
P-43921;2022
P-81321;1998
P-91707;2018
P-16522;2002
P-88984;2006
P-08051;1982
P-45413;2022
P-38732;2022
P-36914;1994
P-90628;1982
P-88041;1994
P-55518;1998
P-28313;1998
P-68738;1982
P-66636;2018
P-26868;2002
P-82537;2018
P-04434;2018
P-76946;2002
P-44462;1994
P-29107;2002
P-20216;2022
P-61496;2018
P-89920;1994
P-77853;2018
P-48279;2006
P-40442;2018
P-24301;2018
P-78753;1994
P-87569;2022
P-41428;1994
P-85438;2018
P-15273;1982
P-84226;2006
P-87114;2006
P-15161;2022
P-06659;2022
P-43829;1994
P-83734;2018
P-92151;1998
P-45457;2018
P-11262;2002
P-70879;2022
P-48349;2002
P-37308;2022
P-23568;2018
P-61662;1982
P-88598;1982
P-02755;1994
P-11032;1990
P-93173;2022
P-21692;1982
P-20886;1998
P-12568;2002
P-30161;1998
P-75813;2002
P-00683;2002
P-57100;2022
P-30493;1970
P-35111;1999
P-50217;1970
P-62567;1994
P-01416;2014
P-32516;1934
P-21683;2002
P-21188;1962
P-43307;1990
P-87231;1994
P-25829;1970
P-70569;1986
P-73673;1962
P-24647;2010
P-39517;1986
P-75764;2014
P-43807;1930
P-82536;1934
P-06647;1970
P-27099;1962
P-59999;2006
P-76189;1934
P-87859;2010
