X;Y
0;38.11
0.03333;37.93
0.06667;37.91
0.1;37.82
0.133;37.82
0.167;38.01
0.2;37.7
0.233;36.82
0.267;36.54
0.3;36.45
0.333;36.27
0.367;36.21
0.4;36.09
0.433;36.01
0.467;36.03
0.5;35.88
0.533;35.64
0.567;35.74
0.6;35.72
0.633;35.92
0.667;35.64
0.7;35.53
0.733;35.25
0.767;35.23
0.8;35.23
0.833;35.47
0.867;35.37
0.9;35.29
0.933;35.13
0.967;34.92
1;35
1.033;35
1.067;34.88
1.1;34.82
1.133;34.57
1.167;34.29
1.2;34.08
1.233;33.82
1.267;34
1.3;33.76
1.333;33.68
1.367;33.61
1.4;33.55
1.433;33.35
1.467;33.35
1.5;33.33
1.533;33.33
1.567;33.17
1.6;33.12
1.633;32.96
1.667;32.8
1.7;32.78
1.733;32.63
1.767;32.43
1.8;32.27
1.833;31.94
1.867;31.78
1.9;31.76
1.933;31.65
1.967;31.61
2;31.61
2.033;31.61
2.067;31.31
2.1;31.1
2.133;30.78
2.167;30.63
2.2;30.59
2.233;30.43
2.267;30.41
2.3;30.31
2.333;30.22
2.367;30.14
2.4;30.14
2.433;30.14
2.467;30.1
2.5;30.04
2.533;29.94
2.567;29.79
2.6;29.57
2.633;29.34
2.667;29.1
2.7;28.88
2.733;28.83
2.767;29.18
2.8;29.06
2.833;28.98
2.867;28.96
2.9;28.85
2.933;28.75
2.967;28.75
3;28.65
3.033;28.45
3.067;28.24
3.1;28.16
3.133;28.16
3.167;28.16
3.2;28.04
3.233;27.94
3.267;27.83
3.3;27.69
3.333;27.69
3.367;27.69
3.4;27.55
3.433;27.4
3.467;27.28
3.5;27.18
3.533;27.08
3.567;26.96
3.6;26.89
3.633;26.73
3.667;26.65
3.7;26.65
3.733;26.53
3.767;26.53
3.8;26.38
3.833;26.34
3.867;26.16
3.9;26.02
3.933;25.93
3.967;25.77
4;25.65
4.033;25.51
4.067;25.46
4.1;25.32
4.133;25.12
4.167;25.02
4.2;25
4.233;24.89
4.267;24.77
4.3;24.69
4.333;24.55
4.367;24.44
4.4;24.22
4.433;24.2
4.467;24.12
4.5;24.04
4.533;24.03
4.567;23.91
4.6;23.75
4.633;23.63
4.667;23.52
4.7;23.48
4.733;23.4
4.767;23.34
4.8;23.14
4.833;22.97
4.867;22.77
4.9;22.59
4.933;22.54
4.967;22.54
5;22.54
5.033;22.52
5.067;22.4
5.1;22.28
5.133;22.22
5.167;22.07
5.2;22.01
5.233;21.95
5.267;21.95
5.3;21.91
5.333;21.81
5.367;21.79
5.4;21.71
5.433;21.58
5.467;21.42
5.5;21.4
5.533;21.32
5.567;21.28
5.6;21.22
5.633;21.18
5.667;21.09
5.7;21.03
5.733;21.01
5.767;20.91
5.8;20.77
5.833;20.73
5.867;20.69
5.9;20.6
5.933;20.52
5.967;20.38
6;20.24
6.033;20.15
6.067;19.99
6.1;19.97
6.133;19.97
6.167;19.91
6.2;19.81
6.233;19.79
6.267;19.68
6.3;19.56
6.333;19.46
6.367;19.36
6.4;19.28
6.433;19.11
6.467;19.07
6.5;19.03
6.533;19.01
6.567;18.87
6.6;18.83
6.633;18.83
6.667;18.74
6.7;18.68
6.733;18.52
