Y;X
38.11;0
37.93;3.33E-02
37.91;6.67E-02
37.82;0.1
37.82;0.133
38.01;0.167
37.7;0.2
36.82;0.233
36.54;0.267
36.45;0.3
36.27;0.333
36.21;0.367
36.09;0.4
36.01;0.433
36.03;0.467
35.88;0.5
35.64;0.533
35.74;0.567
35.72;0.6
35.92;0.633
35.64;0.667
35.53;0.7
35.25;0.733
35.23;0.767
35.23;0.8
35.47;0.833
35.37;0.867
35.29;0.9
35.13;0.933
34.92;0.967
35;1
35;1.033
34.88;1.067
34.82;1.1
34.57;1.133
34.29;1.167
34.08;1.2
33.82;1.233
34;1.267
33.76;1.3
33.68;1.333
33.61;1.367
33.55;1.4
33.35;1.433
33.35;1.467
33.33;1.5
33.33;1.533
33.17;1.567
33.12;1.6
32.96;1.633
32.8;1.667
32.78;1.7
32.63;1.733
32.43;1.767
32.27;1.8
31.94;1.833
31.78;1.867
31.76;1.9
31.65;1.933
31.61;1.967
31.61;2
31.61;2.033
31.31;2.067
31.1;2.1
30.78;2.133
30.63;2.167
30.59;2.2
30.43;2.233
30.41;2.267
30.31;2.3
30.22;2.333
30.14;2.367
30.14;2.4
30.14;2.433
30.1;2.467
30.04;2.5
29.94;2.533
29.79;2.567
29.57;2.6
29.34;2.633
29.1;2.667
28.88;2.7
28.83;2.733
29.18;2.767
29.06;2.8
28.98;2.833
28.96;2.867
28.85;2.9
28.75;2.933
28.75;2.967
28.65;3
28.45;3.033
28.24;3.067
28.16;3.1
28.16;3.133
28.16;3.167
28.04;3.2
27.94;3.233
27.83;3.267
27.69;3.3
27.69;3.333
27.69;3.367
27.55;3.4
27.4;3.433
27.28;3.467
27.18;3.5
27.08;3.533
26.96;3.567
26.89;3.6
26.73;3.633
26.65;3.667
26.65;3.7
26.53;3.733
26.53;3.767
26.38;3.8
26.34;3.833
26.16;3.867
26.02;3.9
25.93;3.933
25.77;3.967
25.65;4
25.51;4.033
25.46;4.067
25.32;4.1
25.12;4.133
25.02;4.167
25;4.2
24.89;4.233
24.77;4.267
24.69;4.3
24.55;4.333
24.44;4.367
24.22;4.4
24.2;4.433
24.12;4.467
24.04;4.5
24.03;4.533
23.91;4.567
23.75;4.6
23.63;4.633
23.52;4.667
23.48;4.7
23.4;4.733
23.34;4.767
23.14;4.8
22.97;4.833
22.77;4.867
22.59;4.9
22.54;4.933
22.54;4.967
22.54;5
22.52;5.033
22.4;5.067
22.28;5.1
22.22;5.133
22.07;5.167
22.01;5.2
21.95;5.233
21.95;5.267
21.91;5.3
21.81;5.333
21.79;5.367
21.71;5.4
21.58;5.433
21.42;5.467
21.4;5.5
21.32;5.533
21.28;5.567
21.22;5.6
21.18;5.633
21.09;5.667
21.03;5.7
21.01;5.733
20.91;5.767
20.77;5.8
20.73;5.833
20.69;5.867
20.6;5.9
20.52;5.933
20.38;5.967
20.24;6
20.15;6.033
19.99;6.067
19.97;6.1
19.97;6.133
19.91;6.167
19.81;6.2
19.79;6.233
19.68;6.267
19.56;6.3
19.46;6.333
19.36;6.367
19.28;6.4
19.11;6.433
19.07;6.467
19.03;6.5
19.01;6.533
18.87;6.567
18.83;6.6
18.83;6.633
18.74;6.667
18.68;6.7
18.52;6.733
18.44;6.767
18.42;6.8
18.42;6.833
18.42;6.867
18.32;6.9
18.25;6.933
18.15;6.967
18.03;7
17.93;7.033
17.85;7.067
17.91;7.1
17.79;7.133
17.72;7.167
17.56;7.2
17.38;7.233
17.42;7.267
17.42;7.3
17.36;7.333
17.32;7.367
17.17;7.4
17.01;7.433
16.95;7.467
16.91;7.5
16.89;7.533
16.87;7.567
16.78;7.6
16.62;7.633
16.5;7.667
16.48;7.7
16.48;7.733
16.48;7.767
16.44;7.8
16.32;7.833
16.32;7.867
16.21;7.9
16.19;7.933
16.09;7.967
16.05;8
15.95;8.033
15.85;8.067
15.7;8.1
15.56;8.133
15.42;8.167
15.42;8.2
15.42;8.233
15.42;8.267
15.42;8.3
15.35;8.333
15.33;8.367
15.21;8.4
15.09;8.433
15.01;8.467
14.99;8.5
14.93;8.533
14.79;8.567
14.7;8.6
14.61;8.633
14.55;8.667
14.48;8.7
14.36;8.733
14.3;8.767
14.14;8.8
13.98;8.833
13.83;8.867
13.74;8.9
13.66;8.933
13.66;8.967
13.66;9
13.66;9.033
13.66;9.067
13.66;9.1
13.62;9.133
13.58;9.167
13.5;9.2
13.5;9.233
13.5;9.267
13.5;9.3
13.36;9.333
13.36;9.367
13.36;9.4
13.36;9.433
13.36;9.467
13.36;9.5
13.2;9.533
13.2;9.567
13.2;9.6
13.14;9.633
13.12;9.667
13.02;9.7
13;9.733
12.92;9.767
12.86;9.8
12.78;9.833
12.74;9.867
12.64;9.9
12.62;9.933
12.6;9.967
12.44;10
12.4;10.033
12.36;10.067
12.34;10.1
12.28;10.133
12.16;10.167
12.14;10.2
12.14;10.233
12.12;10.267
12.08;10.3
12.06;10.333
12.06;10.367
12;10.4
12;10.433
11.94;10.467
11.94;10.5
11.92;10.533
11.92;10.567
11.88;10.6
11.86;10.633
11.86;10.667
11.8;10.7
11.74;10.733
11.66;10.767
11.62;10.8
11.62;10.833
11.62;10.867
11.62;10.9
11.62;10.933
11.62;10.967
11.56;11
11.56;11.033
11.56;11.067
11.5;11.1
11.5;11.133
11.5;11.167
11.5;11.2
11.48;11.233
11.48;11.267
11.48;11.3
11.46;11.333
11.42;11.367
11.42;11.4
11.42;11.433
11.42;11.467
11.42;11.5
11.42;11.533
11.4;11.567
11.36;11.6
11.34;11.633
11.28;11.667
11.22;11.7
11.2;11.733
11.18;11.767
11.18;11.8
11.16;11.833
11.12;11.867
11.1;11.9
11.06;11.933
11.04;11.967
11.02;12
11.02;12.033
11.02;12.067
10.98;12.1
10.98;12.133
10.96;12.167
10.96;12.2
10.92;12.233
10.92;12.267
10.92;12.3
10.92;12.333
10.88;12.367
10.84;12.4
10.84;12.433
10.8;12.467
10.8;12.5
10.78;12.533
10.78;12.567
10.78;12.6
10.78;12.633
10.74;12.667
10.74;12.7
10.74;12.733
10.74;12.767
10.72;12.8
10.68;12.833
10.68;12.867
10.68;12.9
10.66;12.933
10.62;12.967
10.62;13
10.6;13.033
10.58;13.067
10.56;13.1
10.56;13.133
10.56;13.167
10.54;13.2
10.54;13.233
10.5;13.267
10.48;13.3
10.48;13.333
10.46;13.367
10.46;13.4
10.44;13.433
10.4;13.467
10.36;13.5
10.36;13.533
10.36;13.567
10.34;13.6
10.32;13.633
10.3;13.667
10.28;13.7
10.28;13.733
10.26;13.767
10.22;13.8
10.18;13.833
10.18;13.867
10.18;13.9
10.16;13.933
10.14;13.967
10.14;14
10.12;14.033
10.12;14.067
10.1;14.1
10.1;14.133
10.1;14.167
10.1;14.2
10.1;14.233
10.1;14.267
10.1;14.3
10.1;14.333
10.08;14.367
10.06;14.4
10.04;14.433
10.02;14.467
10.02;14.5
10.02;14.533
10;14.567
10;14.6
10;14.633
10;14.667
10;14.7
10;14.733
10;14.767
10;14.8
10;14.833
10;14.867
10;14.9
10;14.933
10;14.967
10;15
10;15.033
10;15.067
10;15.1
10;15.133
10;15.167
10;15.2
10;15.233
10;15.267
10;15.3
10;15.333
10;15.367
10;15.4
10;15.433
10;15.467
10;15.5
10;15.533
10;15.567
10;15.6
10;15.633
10;15.667
10;15.7
10;15.733
10;15.767
10;15.8
10;15.833
10;15.867
10;15.9
10;15.933
10;15.967
10;16
10;16.033
10;16.067
10;16.1
10;16.133
10;16.167
10;16.2
10;16.233
10;16.267
10;16.3
10;16.333
10;16.367
10;16.4
10;16.433
10;16.467
10;16.5
10;16.533
10;16.567
10;16.6
10;16.633
10;16.667
10;16.7
10;16.733
10;16.767
10;16.8
10;16.833
10;16.867
10;16.9
10;16.933
10;16.967
10;17
10;17.033
10;17.067
10;17.1
10;17.133
10;17.167
10;17.2
10;17.233
10;17.267
10;17.3
10;17.333
10;17.367
10;17.4
10;17.433
10;17.467
10;17.5
10;17.533
10;17.567
10;17.6
10;17.633
10;17.667
10;17.7
10;17.733
10;17.767
10;17.8
10;17.833
10;17.867
10;17.9
10;17.933
10;17.967
10;18
10;18.033
10;18.067
10;18.1
10;18.133
10;18.167
10;18.2
10;18.233
10;18.267
10;18.3
10;18.333
10;18.367
10;18.4
10;18.433
10;18.467
10;18.5
10;18.533
10;18.567
10;18.6
10;18.633
10;18.667
10;18.7
10;18.733
10;18.767
10;18.8
10;18.833
10;18.867
10;18.9
10;18.933
10;18.967
10;19
10;19.033
10;19.067
10;19.1
10;19.133
10;19.167
10;19.2
10;19.233
10;19.267
10;19.3
10;19.333
10;19.367
10;19.4
10;19.433
10;19.467
10;19.5
10;19.533
10;19.567
10;19.6
10;19.633
10;19.667
10;19.7
10;19.733
10;19.767
10;19.8
10;19.833
10;19.867
10;19.9
10;19.933
10;19.967
10;20
10;20.033
10;20.067
10;20.1
10;20.133
10;20.167
10;20.2
10;20.233
10;20.267
10;20.3
10;20.333
10;20.367
10;20.4
10;20.433
10;20.467
10;20.5
10;20.533
10;20.567
10;20.6
10;20.633
10;20.667
10;20.7
10;20.733
10;20.767
10;20.8
10;20.833
10;20.867
10;20.9
10;20.933
10;20.967
10;21
10;21.033
10;21.067
10;21.1
10;21.133
10;21.167
10;21.2
10;21.233
10;21.267
10;21.3
10;21.333
10;21.367
10;21.4
10;21.433
10;21.467
10;21.5
10;21.533
10;21.567
10;21.6
10;21.633
10;21.667
10;21.7
10;21.733
10;21.767
10;21.8
10;21.833
10;21.867
10;21.9
10;21.933
10;21.967
10;22
10;22.033
10;22.067
10;22.1
10;22.133
10;22.167
10;22.2
10;22.233
10;22.267
10;22.3
10;22.333
10;22.367
10;22.4
10;22.433
10;22.467
10;22.5
10;22.533
10;22.567
10;22.6
10;22.633
10;22.667
10;22.7
10;22.733
10;22.767
10;22.8
10;22.833
10;22.867
10;22.9
10;22.933
10;22.967
10;23
10;23.033
10;23.067
10;23.1
10;23.133
10;23.167
10;23.2
10;23.233
10;23.267
10;23.3
10;23.333
10;23.367
10;23.4
10;23.433
10;23.467
10;23.5
10;23.533
10;23.567
10;23.6
10;23.633
10;23.667
10;23.7
10;23.733
10;23.767
10;23.8
10;23.833
10;23.867
10;23.9
10;23.933
10;23.967
10;24
10;24.033
10;24.067
10;24.1
10;24.133
10;24.167
10;24.2
10;24.233
10;24.267
10;24.3
10;24.333
10;24.367
10;24.4
10;24.433
10;24.467
10;24.5
10;24.533
10;24.567
10;24.6
10;24.633
10;24.667
10;24.7
10;24.733
10;24.767
10;24.8
10;24.833
10;24.867
10;24.9
10;24.933
10;24.967
10;25
10;25.033
10;25.067
10;25.1
10;25.133
10;25.167
10;25.2
10;25.233
10;25.267
10;25.3
10;25.333
10;25.367
10;25.4
10;25.433
10;25.467
10;25.5
10;25.533
10;25.567
10;25.6
10;25.633
10;25.667
10;25.7
10;25.733
10;25.767
10;25.8
10;25.833
10;25.867
10;25.9
10;25.933
10;25.967
10;26
10;26.033
10;26.067
10;26.1
10;26.133
10;26.167
10;26.2
10;26.233
10;26.267
10;26.3
10;26.333
10;26.367
10;26.4
10;26.433
10;26.467
10;26.5
10;26.533
10;26.567
10;26.6
10;26.633
10;26.667
10;26.7
10;26.733
10;26.767
10;26.8
10;26.833
10;26.867
10;26.9
10;26.933
10;26.967
10;27
10;27.033
10;27.067
10;27.1
10;27.133
10;27.167
10;27.2
10;27.233
10;27.267
10;27.3
10;27.333
10;27.367
10;27.4
10;27.433
10;27.467
10;27.5
10;27.533
10;27.567
10;27.6
10;27.633
10;27.667
10;27.7
10;27.733
10;27.767
10;27.8
10;27.833
10;27.867
10;27.9
10;27.933
10;27.967
10;28
10;28.033
10;28.067
10;28.1
10;28.133
10;28.167
10;28.2
10;28.233
10;28.267
10;28.3
10;28.333
10;28.367
10;28.4
10;28.433
10;28.467
10;28.5
10;28.533
10;28.567
10;28.6
10;28.633
10;28.667
10;28.7
10;28.733
10;28.767
10;28.8
10;28.833
10;28.867
10;28.9
10;28.933
10;28.967
10;29
10;29.033
10;29.067
10;29.1
10;29.133
10;29.167
10;29.2
10;29.233
10;29.267
10;29.3
10;29.333
10;29.367
10;29.4
10;29.433
10;29.467
10;29.5
